Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-05-08,1864.52,1865.8,1820.93,1847.06,81430261
2009-05-11,1849.56,1857.36,1803.16,1824.55,39968011
2009-05-12,1844.36,1877.29,1830.09,1865.18,39595858
2009-05-13,1880.29,1885.12,1814.73,1814.78,77031204
2009-05-14,1787.2,1817.89,1781.63,1807.35,35443032
2009-05-15,1833.08,1836.72,1800.92,1810.08,41626300
2009-05-18,1806.88,1846.99,1801.66,1846.99,58241044
2009-05-19,1879.9,1904.65,1859.72,1883.03,78782468
2009-05-20,1883.46,1920.39,1875.51,1879.35,94952652
2009-05-21,1853.44,1866.73,1829.79,1830.43,54913541
2009-05-22,1833.94,1836.13,1800.99,1814.62,34752314
2009-05-25,1828.21,1830.04,1788.45,1801.03,40012985
2009-05-26,1805.33,1815.27,1774.89,1808.68,57928875
2009-05-27,1835.44,1867.33,1833.89,1845.56,63696336
2009-05-28,1840.82,1848.08,1814.29,1814.29,50072753
2009-05-29,1833.86,1851.43,1801.06,1802.37,74435107
2009-06-01,1849.59,1916.76,1843.56,1916.76,39585371
2009-06-02,1909.06,1984.43,1900.18,1968.71,46147754
2009-06-03,1979.02,1987.04,1937.89,1937.89,55345861
2009-06-04,1954.13,1977.09,1943.28,1969,56182981
2009-06-05,1995.47,2013.41,1962.39,1962.39,35501166
2009-06-08,1948.83,1950.15,1916.43,1920.28,29697128
2009-06-09,1931.47,1959.86,1926.42,1959.86,52095958
2009-06-10,2007.42,2014.92,1989.52,2002.85,45525732
2009-06-12,1996.87,2041.32,1980.74,2041.32,39470586
2009-06-15,2029.58,2042.7,2005.37,2005.54,36687478
2009-06-16,1974.14,2003.05,1961.24,1978.51,29834511
2009-06-17,1989.93,1998.01,1915.4,1926.12,64735257
2009-06-18,1927.5,1940.77,1900.18,1927.35,32589950
2009-06-19,1917.82,1975.05,1915.09,1965.17,123382436
2009-06-22,1954.57,1954.57,1841.24,1843.2,65902412
2009-06-23,1824.42,1861.81,1815.21,1837.63,46230247
2009-06-24,1848.87,1875.09,1838.15,1864.43,44169775
2009-06-25,1883.05,1883.05,1832.87,1852.87,46119655
2009-06-26,1873.78,1881.75,1852.9,1858.24,25570614
2009-06-29,1842.59,1891.62,1841.02,1878,21917451
2009-06-30,1899.57,1911.09,1862.36,1862.36,34896560
2009-07-01,1868.78,1895.52,1865.91,1883.16,25491697
2009-07-02,1887.99,1890.58,1838.58,1841.04,84247941
2009-07-03,1844.39,1845.79,1821.24,1828.27,28722476
2009-07-06,1809.5,1822.4,1793.87,1810.97,48493880
2009-07-07,1824.07,1837.98,1803.29,1810.38,96019157
2009-07-08,1791.95,1817.79,1786.51,1807.39,70713693
2009-07-09,1826.49,1832.88,1803.73,1819.56,209567164
2009-07-10,1812.66,1818.35,1790.44,1790.44,81509683
2009-07-13,1773.75,1813.14,1758.19,1813.14,62251147
2009-07-14,1796.47,1867.3,1795.32,1867.3,61800018
2009-07-15,1888.32,1912.64,1873.03,1912.64,48232771
2009-07-16,1904.33,1930.63,1895.8,1913.86,29202883
2009-07-17,1910.63,1920.55,1897.32,1897.32,42373936
2009-07-20,1928.63,2008.58,1928.09,1998.39,33392316
2009-07-21,1995.68,2043.12,1980.04,2032.31,53557469
2009-07-22,2015.03,2028.23,1987.92,1994.91,31187113
2009-07-23,2017.3,2052.22,2009.79,2052.22,31865058
2009-07-24,2062.51,2112.93,2057.07,2083.95,67608465
2009-07-27,2123.48,2131.21,2064.44,2075.32,47575170
2009-07-28,2082.2,2109.17,2033.95,2033.95,41456400
2009-07-29,2016.26,2058.14,2012.02,2040.56,23763986
2009-07-30,2071.7,2140.12,2048.61,2140.12,39287466
2009-07-31,2147.96,2170.16,2107.01,2137.56,47957654
2009-08-03,2141.05,2186.3,2135.49,2158.54,35707946
2009-08-04,2139.66,2146.37,2116.45,2132.27,29595971
2009-08-05,2120.23,2155.32,2061.92,2061.92,26684368
2009-08-06,2084.6,2105.52,2048.85,2075.51,66044127
2009-08-07,2065.56,2123.7,2043.7,2116.05,22633545
2009-08-10,2130.39,2139.39,2101.74,2133.03,32736369
2009-08-11,2132.78,2156.45,2077.36,2077.36,68846087
2009-08-12,2061.65,2084.14,2032.49,2069.27,44151982
2009-08-13,2121.45,2154.11,2084.76,2119.79,44198503
2009-08-14,2137.55,2160.67,2087.87,2097.16,35058448
2009-08-17,2055.26,2064.02,2019.65,2030.7,35133485
2009-08-18,2056.98,2058.01,2027.69,2054.26,22417056
2009-08-19,2037.38,2089.31,2028.27,2081.54,27268811
2009-08-20,2115.09,2146.84,2103.87,2146.84,67988772
2009-08-21,2139.95,2241.05,2139.44,2234.63,46903442
2009-08-24,2254.75,2289.44,2242.63,2289.44,50506800
2009-08-25,2257.58,2317.07,2245.61,2317.07,38335300
2009-08-26,2291.12,2310.71,2243.43,2249.51,37797583
2009-08-27,2256.07,2292.77,2214.78,2214.78,47540840
2009-08-28,2266.57,2301.75,2232.91,2235.91,41321983
2009-08-31,2221.88,2232.46,2194.36,2212.72,31858420
2009-09-01,2234.3,2245.14,2160.71,2199.6,46430352
2009-09-02,2162.03,2168.03,2110.56,2114.17,50661123
2009-09-03,2137.97,2154.63,2117.93,2121.32,42642339
2009-09-04,2142.23,2157.98,2106.81,2117.09,28412422
2009-09-07,2165.16,2197.16,2154.57,2197.01,38863574
2009-09-08,2222.5,2223.14,2178.45,2196.93,34682568
2009-09-09,2191.32,2223.29,2174.76,2219.81,44855177
2009-09-10,2252.6,2259.27,2174.62,2185.22,38224158
2009-09-11,2203.09,2203.09,2148.76,2148.76,32683422
2009-09-14,2118.75,2134.93,2087.36,2102.53,56505428
2009-09-15,2119.9,2122.77,2087.15,2099.17,29415793
2009-09-16,2124.21,2148.52,2122.12,2145.75,30000341
2009-09-17,2182.74,2182.74,2143.19,2164.82,33838226
2009-09-18,2145.57,2161.21,2131.97,2147.28,64010904
2009-09-21,2156.29,2167.05,2135.39,2137.8,24240979
2009-09-22,2149.15,2249.25,2140.14,2246.97,186641869
2009-09-23,2258.01,2296.92,2255.54,2270.89,114403830
2009-09-24,2253.09,2293.39,2240.4,2256.39,33956042
2009-09-25,2254.2,2260.78,2226.96,2245.27,30699233
2009-09-28,2254.16,2271.23,2231.24,2260.61,41629783
2009-09-29,2259.06,2269.62,2202.16,2202.16,40706679
2009-09-30,2215.15,2235.26,2191.12,2192.37,67303626
2009-10-01,2211.39,2255.68,2207.35,2255.68,38725307
2009-10-02,2188.33,2195.98,2144.13,2144.13,45999469
2009-10-05,2160.11,2170.2,2136.65,2150.59,19268489
2009-10-06,2184.83,2227.65,2183.11,2222.27,35700310
2009-10-07,2235.48,2235.48,2175.4,2183.16,24811339
2009-10-08,2216.02,2219.2,2184.44,2205.42,40922247
2009-10-09,2204.01,2235.3,2195.03,2211.26,42320510
2009-10-12,2225.21,2246.48,2211.81,2238.51,132720965
2009-10-13,2233.73,2234.55,2202.45,2227.46,35272852
2009-10-14,2236.01,2302.54,2232.34,2302.54,78326823
2009-10-15,2320.53,2325.82,2271.78,2276.1,38398520
2009-10-16,2278.19,2300.77,2261.91,2272.37,55750144
2009-10-19,2289.91,2322.96,2289.17,2322.17,30966029
2009-10-20,2356.42,2362.59,2325.4,2348.65,27881826
2009-10-21,2344.16,2377.54,2327.18,2370.65,34839740
2009-10-22,2353.17,2382.08,2342.49,2368.11,25357271
2009-10-23,2397.98,2416.97,2396.36,2412.18,85101848
2009-10-26,2398.09,2411.71,2369.51,2381.07,39808038
2009-10-27,2355.75,2359,2320.66,2330.69,28109021
2009-10-28,2321.75,2321.99,2271.71,2273.83,77451271
2009-10-29,2265.12,2311.5,2245.42,2306.95,62784945
2009-10-30,2293.86,2323.72,2268.81,2274.72,32279345
2009-11-02,2244.13,2273.01,2239.32,2264.07,31941107
2009-11-03,2248.88,2252.42,2193.87,2193.87,31110868
2009-11-04,2221.8,2249.08,2217.23,2249.08,24577887
2009-11-05,2222.46,2305.84,2219.98,2305.84,37213290
2009-11-06,2296.61,2315.73,2257.72,2276.74,52264039
2009-11-09,2312.41,2358.84,2306.16,2358.84,56094374
2009-11-10,2353.77,2388.57,2339.61,2373.3,43862162
2009-11-12,2346.69,2393.6,2346.69,2393.6,43896408
2009-11-13,2371.37,2383.31,2349.9,2356.59,31615210
2009-11-16,2408.64,2434.99,2407.78,2429.41,32216168
2009-11-17,2427.86,2440.85,2414.57,2426.98,43125212
2009-11-18,2436.42,2441.79,2368.34,2370.07,151060368
2009-11-19,2360.44,2362.77,2328.44,2328.44,74460702
2009-11-20,2340.53,2365.61,2315.37,2347.67,47394440
2009-11-23,2378.87,2411.7,2374.55,2411.7,30929055
2009-11-24,2400.97,2407.42,2356.37,2366.25,35203269
2009-11-25,2388.64,2403.8,2364.68,2365.44,21418516
2009-11-26,2370.01,2370.01,2331.34,2331.34,25823071
2009-11-27,2236.63,2324.83,2236.63,2316.97,113335982
2009-11-30,2345.84,2358.26,2328.42,2352.71,37345501
2009-12-01,2371.69,2397.3,2370.71,2378.43,30545295
2009-12-02,2392.4,2400.8,2374.63,2392.93,21710499
2009-12-03,2407.35,2422.26,2389.04,2389.04,22840281
2009-12-04,2386.77,2453.17,2377.97,2448.25,23084112
2009-12-07,2430.49,2443.58,2410.39,2431.26,15160670
2009-12-08,2420.54,2438.6,2369.84,2374.7,24541206
2009-12-09,2367.76,2376.03,2320.13,2320.13,26464743
2009-12-10,2328.72,2346.12,2309.93,2314.28,36465879
2009-12-11,2340.64,2349.08,2322.08,2333.97,25024842
2009-12-14,2370.52,2373.26,2340.1,2352.02,16300351
2009-12-15,2340.78,2351.48,2324.61,2351.48,28229280
2009-12-16,2353.59,2371.5,2347.73,2359.88,21263940
2009-12-17,2345,2355.07,2324.74,2330.73,21929696
2009-12-18,2330.77,2346,2309.95,2322.64,70214364
2009-12-21,2322.34,2354.79,2318.7,2341.9,17423680
2009-12-22,2360.19,2372.88,2354.12,2364.9,21065686
2009-12-23,2372.13,2375.15,2352.5,2371.07,38556086
2009-12-28,2402.91,2409.56,2394.97,2405.04,33805936
2009-12-29,2406.64,2418.9,2392.94,2414.85,24498032
2009-12-30,2411.17,2415.24,2388.77,2396.44,22579110
2009-12-31,2402.01,2403.6,2387.98,2388.72,14015266
2010-01-04,2403.01,2450.63,2403.01,2444.58,33102906
2010-01-05,2460.63,2480.91,2451.63,2462.3,52916695
2010-01-06,2465.92,2472.83,2447.68,2472.83,17679027
2010-01-07,2434.32,2448.52,2427.82,2436.4,22040832
2010-01-08,2464.47,2468.49,2431.9,2440.42,27650406
2010-01-11,2465.27,2475.76,2458.46,2473.5,30269891
2010-01-12,2463.97,2466.29,2436.02,2448.71,28020624
2010-01-13,2432.02,2462.6,2427.9,2458.05,28193862
